Opportunity_ID,Target
12173,1
12172,0
11408,1
12232,0
12233,1
11990,0
10796,1
10797,1
11997,1
11019,1
11652,1
11409,1
12230,1
10799,1
10800,1
11651,1
10733,1
10732,1
12287,0
12288,1
10957,0
10958,0
11407,1
12267,1
11993,0
10953,0
10955,0
10956,0
10802,1
10703,0
10701,0
12274,0
12276,0
10697,0
10700,0
10698,0
10699,0
10702,1
11996,1
10695,0
10696,1
11978,1
11515,0
10798,1
12268,1
12265,1
12266,0
12269,1
12270,1
10825,1
12033,1
11247,0
10740,0
12086,1
11961,1
12088,0
11998,0
11244,1
12176,0
11103,0
11533,1
11289,1
11291,0
12253,1
11577,1
10978,0
11313,0
12255,1
11745,0
11876,0
11694,0
11227,1
12059,0
10713,0
12273,0
11479,1
12092,0
10726,1
10734,1
10711,0
11550,1
12057,1
12058,0
11571,0
11574,0
11578,0
11586,1
11605,0
10862,0
11746,0
11099,0
11679,0
10710,0
12256,0
12100,1
11101,1
12099,1
11664,0
11673,0
12090,0
12179,1
12252,1
12178,0
12093,0
10980,0
11576,0
10717,1
12091,0
11328,1
11411,0
11539,0
12022,0
12290,0
11553,0
11270,0
11481,0
11482,0
10824,0
10898,0
10952,0
10954,0
11243,0
11936,1
11834,0
12281,1
11582,1
11912,0
10844,1
10727,1
11842,0
12291,1
11100,0
11105,0
11759,1
12237,0
10750,1
10902,1
10877,1
11535,0
11049,0
11653,0
11841,0
12231,0
11098,1
11670,1
11671,0
11306,0
11254,0
11442,0
10811,0
11551,1
11943,1
11875,1
11387,0
11820,1
11440,1
11573,0
12050,1
12031,1
10991,0
11994,1
11036,1
10938,0
10770,1
10992,0
11014,1
10936,0
11230,0
10931,1
11723,1
10728,1
11256,1
12236,1
11255,1
11233,1
11500,1
11665,1
12191,0
11287,1
11235,0
12085,1
12293,1
10709,1
11348,1
11478,1
12342,1
10725,1
12087,1
10827,1
11229,1
11414,1
11663,1
12167,1
10932,1
11231,1
11935,1
11232,1
12075,1
11721,1
11811,1
10777,0
12292,0
11366,0
11666,0
11234,1
12106,1
11304,1
11498,0
11532,1
12017,1
10930,1
11980,1
11499,0
12076,1
12254,1
11968,1
10773,1
