Opportunity_ID,Target
12173,0.59
12172,0.52
11408,0.55
12232,0.52
12233,0.52
11990,0.4
10796,0.51
10797,0.6
11997,0.66
11019,0.58
11652,0.31
11409,0.38
12230,0.58
10799,0.48
10800,0.53
11651,0.64
10733,0.46
10732,0.46
12287,0.4
12288,0.49
10957,0.21
10958,0.11
11407,0.54
12267,0.47
11993,0.42
10953,0.09
10955,0.19
10956,0.11
10802,0.46
10703,0.43
10701,0.43
12274,0.56
12276,0.51
10697,0.55
10700,0.47
10698,0.55
10699,0.55
10702,0.46
11996,0.46
10695,0.48
10696,0.51
11978,0.41
11515,0.11
10798,0.42
12268,0.51
12265,0.52
12266,0.52
12269,0.51
12270,0.48
10825,0.48
12033,0.08
11247,0.17
10740,0.44
12086,0.4
11961,0.52
12088,0.49
11998,0.48
11244,0.17
12176,0.39
11103,0.47
11533,0.44
11289,0.36
11291,0.16
12253,0.22
11577,0.45
10978,0.62
11313,0.45
12255,0.33
11745,0.29
11876,0.37
11694,0.52
11227,0.09
12059,0.11
10713,0.58
12273,0.6
11479,0.35
12092,0.47
10726,0.55
10734,0.4
10711,0.46
11550,0.1
12057,0.48
12058,0.42
11571,0.49
11574,0.44
11578,0.26
11586,0.58
11605,0.47
10862,0.39
11746,0.24
11099,0.41
11679,0.32
10710,0.56
12256,0.44
12100,0.5
11101,0.42
12099,0.53
11664,0.18
11673,0.42
12090,0.48
12179,0.54
12252,0.47
12178,0.51
12093,0.52
10980,0.58
11576,0.54
10717,0.41
12091,0.48
11328,0.58
11411,0.59
11539,0.44
12022,0.06
12290,0.5
11553,0.15
11270,0.17
11481,0.13
11482,0.11
10824,0.12
10898,0.13
10952,0.61
10954,0.6
11243,0.19
11936,0.58
11834,0.18
12281,0.36
11582,0.6
11912,0.52
10844,0.52
10727,0.38
11842,0.18
12291,0.46
11100,0.54
11105,0.23
11759,0.54
12237,0.63
10750,0.66
10902,0.54
10877,0.62
11535,0.46
11049,0.24
11653,0.61
11841,0.14
12231,0.32
11098,0.16
11670,0.5
11671,0.48
11306,0.11
11254,0.42
11442,0.13
10811,0.19
11551,0.45
11943,0.63
11875,0.2
11387,0.13
11820,0.69
11440,0.62
11573,0.26
12050,0.3
12031,0.68
10991,0.1
11994,0.55
11036,0.64
10938,0.15
10770,0.36
10992,0.08
11014,0.58
10936,0.49
11230,0.56
10931,0.66
11723,0.73
10728,0.72
11256,0.71
12236,0.62
11255,0.67
11233,0.57
11500,0.71
11665,0.19
12191,0.59
11287,0.67
11235,0.13
12085,0.69
12293,0.67
10709,0.73
11348,0.73
11478,0.72
12342,0.74
10725,0.73
12087,0.7
10827,0.7
11229,0.59
11414,0.63
11663,0.7
12167,0.72
10932,0.56
11231,0.64
11935,0.54
11232,0.55
12075,0.69
11721,0.73
11811,0.73
10777,0.43
12292,0.58
11366,0.69
11666,0.5
11234,0.79
12106,0.63
11304,0.61
11498,0.05
11532,0.51
12017,0.59
10930,0.6
11980,0.72
11499,0.35
12076,0.75
12254,0.72
11968,0.7
10773,0.53
12343,0.61
10804,0.67
11236,0.68
10805,0.08
11695,0.64
12051,0.09
12289,0.64
11969,0.55
11917,0.05
11871,0.26
11305,0.09
11097,0.13
12160,0.62
11787,0.6
10826,0.64
12222,0.43
11298,0.3
11076,0.66
11362,0.38
12310,0.63
11474,0.6
12358,0.48
11472,0.55
12157,0.56
12158,0.53
12181,0.39
12159,0.47
10705,0.64
11627,0.69
11626,0.62
12021,0.51
11988,0.57
11962,0.64
11534,0.47
12177,0.61
10842,0.58
10843,0.59
11361,0.34
11286,0.26
10780,0.62
10990,0.16
11995,0.14
12018,0.14
12229,0.7
11878,0.26
12027,0.35
12166,0.14
11613,0.5
11773,0.65
11048,0.53
11797,0.61
12169,0.54
10840,0.37
10935,0.5
11824,0.51
10933,0.65
11649,0.6
11494,0.26
12140,0.34
11047,0.8
11614,0.55
11650,0.57
12125,0.66
10929,0.6
11750,0.67
11763,0.65
11764,0.65
12126,0.62
11386,0.55
11012,0.54
11085,0.46
12212,0.55
11342,0.71
12005,0.53
11042,0.68
12305,0.68
11796,0.58
12006,0.67
12007,0.59
12008,0.58
12243,0.1
11825,0.08
12306,0.05
11285,0.53
11738,0.38
10934,0.5
11495,0.1
11493,0.33
11615,0.13
11617,0.23
11616,0.1
11284,0.18
10860,0.19
11756,0.47
11374,0.2
10822,0.09
12004,0.32
11283,0.17
11683,0.08
12299,0.07
11806,0.41
10738,0.48
12307,0.42
12308,0.43
11359,0.02
11977,0.46
12309,0.16
11765,0.38
12056,0.07
11793,0.15
11772,0.53
11737,0.59
11011,0.48
11612,0.41
11002,0.43
12168,0.08
11648,0.17
11492,0.47
11013,0.14
12262,0.46
12003,0.51
11813,0.1
10912,0.59
11385,0.02
10760,0.15
11451,0.45
11448,0.15
11791,0.1
10908,0.08
11433,0.21
11434,0.23
11422,0.08
11429,0.12
11428,0.11
12038,0.54
11449,0.07
12211,0.54
11949,0.25
12068,0.67
12067,0.66
12066,0.63
12069,0.64
12065,0.67
10737,0.71
10748,0.62
10872,0.06
10789,0.13
11579,0.08
12218,0.04
10765,0.36
11321,0.34
11890,0.75
10907,0.6
11363,0.13
10749,0.7
11380,0.42
12026,0.5
12011,0.51
12216,0.45
10757,0.02
10873,0.31
12012,0.05
11945,0.11
12225,0.71
11862,0.57
11863,0.58
11751,0.59
11728,0.65
11718,0.68
12064,0.56
12217,0.64
10718,0.67
10951,0.04
11483,0.02
11948,0.7
12164,0.1
11088,0.07
10720,0.39
11431,0.21
11432,0.21
11430,0.08
11452,0.58
11421,0.12
11423,0.59
11455,0.12
11450,0.54
10758,0.08
12282,0.6
12104,0.16
11766,0.78
11972,0.63
11779,0.02
11688,0.39
11459,0.06
11816,0.11
10691,0.53
12105,0.45
11659,0.68
12264,0.7
12356,0.53
11686,0.14
12072,0.46
11946,0.11
11947,0.37
11956,0.09
11684,0.13
10839,0.03
11752,0.59
12084,0.18
12367,0.4
11877,0.59
11705,0.51
12295,0.55
11458,0.14
12139,0.12
11923,0.62
11282,0.71
11427,0.7
11083,0.07
11729,0.57
11403,0.12
11706,0.08
12332,0.15
12348,0.13
12350,0.14
12327,0.14
12337,0.09
12349,0.09
12324,0.19
12335,0.16
12333,0.21
12325,0.42
12322,0.28
12330,0.35
12320,0.12
12321,0.16
12323,0.34
12334,0.13
12347,0.1
12351,0.13
12336,0.15
12329,0.15
12338,0.09
12345,0.13
12346,0.12
12328,0.33
12331,0.13
11054,0.07
11397,0.44
11986,0.53
11084,0.23
11866,0.51
11867,0.51
11753,0.54
11864,0.53
11865,0.54
10925,0.62
11094,0.63
11504,0.51
11250,0.16
10882,0.43
11466,0.34
11467,0.36
11078,0.4
10787,0.52
10763,0.57
10889,0.46
10762,0.59
10923,0.42
10892,0.44
11933,0.64
11974,0.5
12013,0.52
11640,0.5
11807,0.45
12186,0.69
11702,0.5
11643,0.27
11644,0.28
11645,0.45
11057,0.41
11044,0.4
11908,0.54
11900,0.51
11901,0.6
11902,0.58
12102,0.5
12103,0.54
10906,0.65
11924,0.15
12340,0.76
12245,0.82
11829,0.78
11251,0.58
10924,0.54
11007,0.57
11782,0.54
11934,0.13
11065,0.64
12213,0.73
11594,0.63
12219,0.47
10820,0.61
10741,0.7
12283,0.71
10756,0.74
11293,0.61
10764,0.67
10795,0.62
10890,0.7
10888,0.74
10891,0.72
10893,0.19
10894,0.71
10895,0.69
11709,0.77
11710,0.63
11711,0.67
11712,0.62
11713,0.7
11794,0.64
12074,0.63
12294,0.77
12355,0.72
11897,0.8
11992,0.66
12030,0.33
11896,0.67
11989,0.57
11991,0.62
12029,0.33
12251,0.65
11785,0.66
11884,0.36
11528,0.72
11646,0.76
11953,0.63
11242,0.61
12073,0.52
10761,0.65
10881,0.58
11488,0.69
11514,0.69
11527,0.69
11524,0.75
11525,0.68
11526,0.67
11620,0.56
11730,0.54
11662,0.61
11795,0.56
11868,0.67
11975,0.59
11976,0.6
12215,0.59
12214,0.69
12246,0.59
10693,0.58
10694,0.59
11748,0.05
11690,0.04
11691,0.04
11693,0.07
11079,0.52
10886,0.41
10885,0.49
11081,0.48
11469,0.25
11364,0.04
11546,0.46
11462,0.43
11091,0.56
11461,0.19
11549,0.52
11547,0.46
11296,0.09
11297,0.03
11069,0.12
11465,0.34
11464,0.38
11463,0.18
11548,0.51
11468,0.5
12182,0.41
10790,0.35
11780,0.46
12247,0.56
10742,0.6
12183,0.48
12141,0.42
11903,0.52
11904,0.62
11905,0.55
11906,0.49
11907,0.56
12353,0.58
12248,0.54
12261,0.45
11973,0.29
12300,0.5
12301,0.61
11955,0.63
11707,0.76
11708,0.62
11768,0.77
11769,0.64
11587,0.68
11583,0.65
11885,0.44
12116,0.44
12115,0.47
10692,0.74
11870,0.53
12120,0.6
11869,0.52
11928,0.55
11929,0.65
11930,0.59
10972,0.09
10788,0.45
10791,0.47
11595,0.63
11581,0.52
10976,0.61
11092,0.55
11093,0.53
11382,0.45
11089,0.12
11426,0.69
11424,0.66
11425,0.65
11509,0.64
11087,0.55
11522,0.53
11567,0.66
10984,0.2
11223,0.7
11224,0.66
11276,0.65
11277,0.64
11324,0.72
10767,0.69
10766,0.61
10874,0.66
10896,0.63
10897,0.61
10986,0.6
10987,0.63
11041,0.72
11063,0.65
11064,0.62
11095,0.78
11096,0.8
11489,0.7
11512,0.74
11511,0.76
11596,0.79
11597,0.63
11598,0.73
11599,0.73
11508,0.77
11584,0.41
11435,0.59
11398,0.66
11703,0.11
10859,0.19
11039,0.55
11401,0.64
11399,0.6
11704,0.12
11005,0.17
11347,0.37
11046,0.48
11622,0.13
11222,0.44
11585,0.62
12002,0.14
11490,0.4
11077,0.52
11406,0.19
11346,0.06
11681,0.21
11006,0.6
11024,0.18
11767,0.17
11043,0.57
12052,0.07
12298,0.53
12188,0.6
12249,0.53
11228,0.46
11761,0.12
11377,0.25
11925,0.1
11970,0.61
10821,0.03
11931,0.47
11727,0.51
12028,0.5
12138,0.43
11080,0.5
10841,0.24
10947,0.61
11818,0.17
11958,0.21
10949,0.61
11781,0.47
12114,0.64
10743,0.47
11701,0.06
10988,0.46
12221,0.58
11685,0.09
11687,0.33
11692,0.1
11792,0.18
11300,0.33
11453,0.47
11486,0.03
11447,0.17
11637,0.03
11714,0.16
11716,0.1
11932,0.46
11895,0.31
12365,0.49
12326,0.45
12053,0.17
11892,0.35
11891,0.35
11893,0.35
11894,0.36
11899,0.6
10744,0.33
10745,0.33
10746,0.31
10747,0.31
11726,0.22
12339,0.25
11295,0.51
11660,0.07
11715,0.11
11266,0.03
11485,0.03
11059,0.34
11523,0.02
11957,0.07
12366,0.42
11279,0.22
11642,0.23
12080,0.57
11360,0.37
11376,0.34
11378,0.28
11460,0.05
11566,0.21
10922,0.43
11317,0.13
11487,0.06
11241,0.68
11086,0.66
11345,0.62
11817,0.39
10910,0.05
12039,0.52
11798,0.49
11826,0.52
11647,0.09
12016,0.53
11755,0.53
12117,0.56
10739,0.62
11954,0.46
11278,0.48
11253,0.61
11910,0.45
11909,0.39
12119,0.42
11959,0.45
12118,0.63
12071,0.18
11590,0.51
11402,0.48
11680,0.06
11808,0.06
11302,0.4
11984,0.06
11252,0.4
10803,0.22
11621,0.01
11619,0.12
11784,0.16
11783,0.62
11830,0.42
11491,0.28
