Opportunity_ID,Target
12173,0.56
12172,0.56
11408,0.5
12232,0.54
12233,0.46
11990,0.4
10796,0.38
10797,0.42
11997,0.7
11019,0.44
11652,0.38
11409,0.3
12230,0.48
10799,0.54
10800,0.38
11651,0.5
10733,0.38
10732,0.42
12287,0.38
12288,0.5
10957,0.24
10958,0.18
11407,0.56
12267,0.4
11993,0.4
10953,0.18
10955,0.24
10956,0.2
10802,0.4
10703,0.24
10701,0.3
12274,0.54
12276,0.48
10697,0.48
10700,0.36
10698,0.42
10699,0.46
10702,0.32
11996,0.48
10695,0.42
10696,0.36
11978,0.56
11515,0.1
10798,0.42
12268,0.36
12265,0.5
12266,0.52
12269,0.6
12270,0.38
10825,0.54
12033,0.06
11247,0.14
10740,0.34
12086,0.32
11961,0.64
12088,0.42
11998,0.42
11244,0.06
12176,0.54
11103,0.38
11533,0.38
11289,0.28
11291,0.16
12253,0.18
11577,0.32
10978,0.74
11313,0.6
12255,0.34
11745,0.32
11876,0.26
11694,0.5
11227,0.04
12059,0.18
10713,0.6
12273,0.62
11479,0.22
12092,0.44
10726,0.62
10734,0.38
10711,0.38
11550,0.18
12057,0.48
12058,0.32
11571,0.4
11574,0.5
11578,0.28
11586,0.62
11605,0.36
10862,0.22
11746,0.24
11099,0.4
11679,0.12
10710,0.48
12256,0.3
12100,0.6
11101,0.4
12099,0.52
11664,0.12
11673,0.34
12090,0.48
12179,0.6
12252,0.34
12178,0.5
12093,0.64
10980,0.62
11576,0.64
10717,0.32
12091,0.54
11328,0.56
11411,0.52
11539,0.4
12022,0.06
12290,0.38
11553,0.08
11270,0.26
11481,0.12
11482,0.08
10824,0.12
10898,0.18
10952,0.52
10954,0.54
11243,0.14
11936,0.7
11834,0.18
12281,0.36
11582,0.6
11912,0.38
10844,0.6
10727,0.28
11842,0.22
12291,0.4
11100,0.52
11105,0.22
11759,0.64
12237,0.64
10750,0.56
10902,0.46
10877,0.64
11535,0.3
11049,0.2
11653,0.52
11841,0.22
12231,0.56
11098,0.14
11670,0.64
11671,0.64
11306,0.2
11254,0.5
11442,0.12
10811,0.2
11551,0.48
11943,0.38
11875,0.12
11387,0.12
11820,0.56
11440,0.5
11573,0.26
12050,0.36
12031,0.58
10991,0.22
11994,0.4
11036,0.56
10938,0.26
10770,0.3
10992,0.08
11014,0.66
10936,0.62
11230,0.58
10931,0.48
11723,0.7
10728,0.64
11256,0.78
12236,0.62
11255,0.74
11233,0.56
11500,0.58
11665,0.22
12191,0.7
11287,0.58
11235,0.1
12085,0.64
12293,0.74
10709,0.72
11348,0.74
11478,0.68
12342,0.78
10725,0.78
12087,0.72
10827,0.78
11229,0.72
11414,0.7
11663,0.72
12167,0.64
10932,0.58
11231,0.56
11935,0.44
11232,0.54
12075,0.7
11721,0.62
11811,0.68
10777,0.48
12292,0.64
11366,0.5
11666,0.46
11234,0.68
12106,0.62
11304,0.66
11498,0.08
11532,0.56
12017,0.58
10930,0.36
11980,0.56
11499,0.36
12076,0.72
12254,0.64
11968,0.7
10773,0.64
12343,0.74
10804,0.7
11236,0.52
10805,0.08
11695,0.62
12051,0.2
12289,0.62
11969,0.62
11917,0.02
11871,0.24
11305,0.18
11097,0.1
12160,0.58
11787,0.58
10826,0.52
12222,0.64
11298,0.44
11076,0.48
11362,0.4
12310,0.58
11474,0.66
12358,0.46
11472,0.7
12157,0.46
12158,0.48
12181,0.46
12159,0.44
10705,0.54
11627,0.72
11626,0.72
12021,0.58
11988,0.56
11962,0.64
11534,0.56
12177,0.54
10842,0.62
10843,0.64
11361,0.42
11286,0.28
10780,0.58
10990,0.24
11995,0.1
12018,0.06
12229,0.7
11878,0.16
12027,0.5
12166,0.24
11613,0.52
11773,0.64
11048,0.52
11797,0.6
12169,0.48
10840,0.44
10935,0.62
11824,0.52
10933,0.62
11649,0.54
11494,0.28
12140,0.36
11047,0.66
11614,0.64
11650,0.56
12125,0.68
10929,0.64
11750,0.7
11763,0.7
11764,0.7
12126,0.66
11386,0.52
11012,0.54
11085,0.56
12212,0.7
11342,0.62
12005,0.5
11042,0.64
12305,0.6
11796,0.64
12006,0.66
12007,0.66
12008,0.68
12243,0.1
11825,0.06
12306,0.08
11285,0.4
11738,0.36
10934,0.56
11495,0.1
11493,0.38
11615,0.12
11617,0.24
11616,0.14
11284,0.1
10860,0.1
11756,0.44
11374,0.22
10822,0.08
12004,0.42
11283,0.12
11683,0.08
12299,0.16
11806,0.58
10738,0.48
12307,0.54
12308,0.5
11359,0.04
11977,0.54
12309,0.14
11765,0.48
12056,0.02
11793,0.2
11772,0.48
11737,0.56
11011,0.56
11612,0.38
11002,0.54
12168,0.12
11648,0.18
11492,0.58
11013,0.3
12262,0.36
12003,0.54
11813,0.06
10912,0.6
11385,0.04
10760,0.28
11451,0.4
11448,0.22
11791,0.28
10908,0.16
11433,0.26
11434,0.26
11422,0.12
11429,0.1
11428,0.1
12038,0.7
11449,0.1
12211,0.52
11949,0.36
12068,0.8
12067,0.8
12066,0.74
12069,0.74
12065,0.82
10737,0.66
10748,0.68
10872,0.04
10789,0.22
11579,0.2
12218,0.16
10765,0.36
11321,0.48
11890,0.62
10907,0.5
11363,0.1
10749,0.72
11380,0.58
12026,0.44
12011,0.64
12216,0.54
10757,0.1
10873,0.28
12012,0.08
11945,0.06
12225,0.66
11862,0.66
11863,0.64
11751,0.62
11728,0.72
11718,0.6
12064,0.58
12217,0.7
10718,0.76
10951,0.26
11483,0.12
11948,0.52
12164,0.12
11088,0.1
10720,0.38
11431,0.22
11432,0.22
11430,0.08
11452,0.56
11421,0.2
11423,0.64
11455,0.22
11450,0.54
10758,0.14
12282,0.64
12104,0.1
11766,0.82
11972,0.54
11779,0.08
11688,0.34
11459,0.02
11816,0.16
10691,0.58
12105,0.36
11659,0.66
12264,0.74
12356,0.48
11686,0.08
12072,0.44
11946,0.06
11947,0.32
11956,0.22
11684,0.06
10839,0.16
11752,0.56
12084,0.26
12367,0.5
11877,0.52
11705,0.6
12295,0.7
11458,0.14
12139,0.24
11923,0.56
11282,0.68
11427,0.72
11083,0.1
11729,0.6
11403,0.2
11706,0.08
12332,0.16
12348,0.1
12350,0.16
12327,0.26
12337,0.14
12349,0.12
12324,0.24
12335,0.16
12333,0.12
12325,0.28
12322,0.28
12330,0.32
12320,0.26
12321,0.28
12323,0.32
12334,0.16
12347,0.04
12351,0.24
12336,0.16
12329,0.28
12338,0.12
12345,0.16
12346,0.1
12328,0.28
12331,0.12
11054,0.14
11397,0.42
11986,0.62
11084,0.12
11866,0.48
11867,0.5
11753,0.54
11864,0.48
11865,0.48
10925,0.5
11094,0.68
11504,0.64
11250,0.18
10882,0.52
11466,0.32
11467,0.4
11078,0.32
10787,0.6
10763,0.7
10889,0.62
10762,0.64
10923,0.64
10892,0.54
11933,0.6
11974,0.5
12013,0.72
11640,0.6
